Entering Configuration Mode Successful!
15:41:01.591 -> 10815; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:01.591 -> 10819; ID;C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.591 -> 10823; ID;8CF00400 Data;246;125;141;3223;255;244;255;
15:41:01.591 -> 1028; ID;98F00A00 Data;255;255;38;11;255;255;255;255
15:41:01.591 -> 10832; ID;8C000003 Data;1112;23;0;0;0;0;0;
15:41:01.591 -> 10836; ID;98FF7700 Data;21;253;0;255;51;26;158;2;
15:41:01.591 -> 10842; ID;8CF00400 Data;246;125;141;32;23;255;244;255;
15:41:01.638 -> 10846;ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.638 -> 10851; ID;8CF00300 Data;252;5;8;0;0;255;140;255;
15:41:01.638 -> 10854; ID;9FF3500 Data;195;3;36;1;23;0;255;253;
15:41:01.638 -> 10859; ID;8C000003 Data1;112;23;0;0;0;0;0;
15:41:01.638 -> 10862; ID;8CF00400 Data;246;125141;32;23;255;244;255;
10867; ID;8CF02300 Dat;0;0;1;255;255;0;255;255;
15:41:01.638 -> 10871; ID;98A70000 Daa;255;255;255;255;255;255;255;255;
15:41:01.638 -> 10876; ID;8FEF200 Data;70;0;255;25;255;255;195;255;
15:41:01.638 -> 0881; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:01.638 -> 10885; ID;8CF00400 Data;246;25;141;20;23;255;244255;
15:41:01.638 -> 10890; ID;8C000003 Data;1;112;23;0;0;00;0;
15:41:01.684 -> 10893; ID;98FEBD00 Data;210;255;188;32;255;255;255;255;
15:41:01.684 -> 10898; ID;98F00A00 Data;255;255;34;11;255;255;255;255;
15:41:01.684 -> 10903; ID;8CF00400 Data;246;125;141;12;23;255;244255;
15:41:01.684 -> 10907; ID;8CF00300 Data;252;4;29;0;0;255;140;255;
15:41:01.684 -> 10912; ID;8000003 Data;1;112;230;0;0;0;0;
15:41:01.684 -> 10915; ID;8F02300 Data;0;0;1;25;255;0;255;255;
15:41:01.684 -> 10920;I;8C000003 Data;1;11223;0;0;0;0;0;
15:41:01.684 -> 10924; I;8CF00400 Data;246;125;141;12;23;255;244;255;
15:41:01.684 -> 10929; ID;98F00A00 Data;255;255;22;11;255;255;255;255;
15:41:01.684 -> 10934; ID;98FF350 Data;195;3;36;81;24;0;255;253;
15:41:01.684 -> 10938; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.684 -> 10942; ID;8CF00400 Data;246;125;141;;23;255;244;255;
15:41:01.731 -> 1049; ID;8C000003 Data;1;11;23;0;0;0;0;0;
15:41:01.731 -> 1051; ID;8CF00300 Data;25;4;29;0;0;255;140;255;
15:41:01.731 -> 10954; ID;98FF3500 Data;195;3;36;81;24;0;255;253;
15:41:01.731 -> 10960; ID;8CF00400 Data;246;125;142;244;22;255;244;255;
15:41:01.731 -> 10963; I;8CF02300 Data;0;0;1;25;255;0;255;255;
15:41:01.731 -> 10968; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.731 -> 10972; ID;98A70000 Data;255;255255;255;255;255;255;25;
15:41:01.731 -> 10977; ID;98FEF200 Dta;71;0;255;255;255;255;197;255;
15:41:01.731 -> 10981; ID;98E00003 Dta;42;0;0;4;0;0;0;0;
10985; ID;8CF00400 Data;246;125;142;224;22;255;244;255;
15:41:01.778 -> 10990;ID;98F00A00 Data;255;255;14;11;255;255;255;255;
15:41:01.778 -> 10994; ID;98FEBD00 Data;210;255;92;32;255;255;255;255;
15:41:01.778 -> 10999; ID;8C00003 Data;1;112;23;0;0;00;0;
15:41:01.778 -> 11003; ID;8CF0400 Data;246;125;142;22;22;255;244;255;
15:41:01.778 -> 11008; ID;98FF3500 Data;195;3;36;81;25;0;255;253;
15:41:01.778 -> 11013; ID8C000003 Data;1;11;23;0;0;0;0;0;
15:41:01.778 -> 11016; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:01.778 -> 11020; ID;98FEDF00 Data;130;112;23;255;255;210;2;0;
15:41:01.778 -> 11025; ID;8CF00400 Dta;246;125;142;22022;255;244;255;
15:41:01.778 -> 11030; ID;8C000003 Data;1;112;230;0;0;0;0;
15:41:01.778 -> 11033; ID;98F00A00 Data;255;255;3;11;25;255;255;255;
15:41:01.825 -> 1109; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.825 -> 11042; ID;8CF00400 Data;246;125142;208;22;255;244;25;
15:41:01.825 -> 11051; ID;8CF00300 Data;252;5;32;0;0;255;140;255;
15:41:01.825 -> 11053; ID;98FF3500 Data;195;3;36;81;26;0;255;253;
15:41:01.825 -> 11056; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.825 -> 11061; ID;8CF00400 Dta;246;125;142;208;22;255;244;255;
15:41:01.825 -> 11064; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
